gismu,position,oblique
cevni,2,hold as god: religious community: religion
cevni,3,dominion of god
cfari,1,initiate
cfika,1,fiction
cfika,2,plot: genre [of fiction]: fiction subject
cfika,3,author [of fiction]: write fiction
cfila,1,flaw
cfila,2,flawed: defective: dud
cfila,3,result of flaw: malfunction
cfine,1,wedge
cfine,2,wedge material
cfipu,1,confusing
cfipu,2,confused
cfipu,3,confusing property
ciblu,1,blood
ciblu,2,has blood
cicna,1,cyan
cidja,1,food
cidja,2,can eat: nourished: feed on
cidni,1,knee: elbow
cidni,2,limb with knew: elbowed
cidni,3,has knee
cidro,1,hydrogen
cifnu,1,infant
cifnu,2,infant species
cigla,1,gland
cigla,2,secretion
cigla,3,has gland
cikna,1,awake
cikre,1,repairman: repair
cikre,2,fixed: repaired
cikre,3,use for repaired item
ciksi,1,explain
ciksi,2,explained
ciksi,3,get explanation: enlightened
ciksi,4,explanation
cilce,1,wild
cilmo,1,moist
cilmo,2,moisture: wets
cilre,1,learn
cilre,2,learned
cilre,3,subject learned [about]
cilre,4,teacher: instructive: learning source
cilre,5,learning method
cilta,1,thread
cilta,2,thread material
cimde,1,dimension
cimde,2,has dimension
cimde,3,dimensional model
cimni,1,infinite
cimni,2,infinite property
cimni,3,infinity degree
cinba,1,kiss
cinba,2,kissed
cinba,3,place kissed
cindu,1,oak
cindu,2,oak species
cinfo,1,lion
cinfo,2,lion species
cinje,1,wrinkle
cinje,2,wrinkled
cinki,1,insect
cinki,2,insect species
cinla,1,thin
cinla,2,thinness direction: thickness
cinla,3,thinness standard
cinmo,1,feels [emotion]
cinmo,2,emotion felt
cinmo,3,object of emotion: moving: impacts emotionally
cinri,1,interesting
cinri,2,interested
cinse,1,sexual
cinse,2,sexual activity: sexual orientation
cinse,3,sexuality
cinse,4,sexuality standard
cinta,1,paint
cinta,2,paint pigment
cinta,3,paint base
cinza,1,tongs
cinza,2,use tongs: pinches
cinza,3,grasped with tongs: pinched
cipni,1,bird
cipni,2,bird species
cipra,1,test
cipra,2,property tested [for]
cipra,3,tested
cirko,1,lose
cirko,2,lost
cirko,3,loss conditions
cirla,1,cheese
cirla,2,cheese source
ciska,1,writer: write
ciska,2,written
ciska,3,written on
ciska,4,writing implement
cisma,1,smile
ciste,1,system
ciste,2,system structure
ciste,3,system components
ciste,4,system properties
citka,1,eat
citka,2,eaten: food
citno,1,young
citno,2,youth standard
citri,1,history
citri,2,has history
citri,3,historian
citsi,1,season
citsi,2,define season
citsi,3,year of season
civla,1,louse
civla,2,louse species
civla,3,louse host: parasite host
cizra,1,strange
cizra,2,find strange
cizra,3,strangeness property: weirdness
ckabu,1,rubber
ckabu,2,rubber source
ckabu,3,rubber composition
ckafi,1,coffee
ckafi,2,coffee bean
ckaji,1,is characterized
ckaji,2,quality: property: characteristic
ckana,1,bed
ckana,2,bed material
ckana,3,on bed
ckape,1,peril
ckape,2,endangered
ckape,3,peril conditions
ckasu,1,ridicule
ckasu,2,ridiculed
ckasu,3,ridiculous: ridiculed about
ckasu,4,ridiculing
ckeji,1,ashamed
ckeji,2,humiliating: mortifying: shameful
ckeji,3,ashamed before
ckiku,1,key
ckiku,2,opened by key: lock
ckiku,3,key property
ckilu,1,scale
ckilu,2,measured on scale
ckini,1,related
ckini,2,related to
ckini,3,relationship
ckire,1,grateful
ckire,2,thanked
ckire,3,object of gratitude: blessing: boon
ckule,1,school
ckule,2,school location
ckule,3,curriculum: school subject
ckule,4,attend school
ckule,5,operate school
ckunu,1,conifer
ckunu,2,conifer species
ckunu,3,cone of conifer
cladu,1,loud
cladu,2,loud at point
cladu,3,loudness standard
clani,1,long
clani,2,length direction
clani,3,length standard
claxu,1,alone: without: lacking
claxu,2,lacked: missing
clika,1,mossy
clika,2,moss species
clika,3,mossy: has moss
clira,1,early
clira,2,earliness standard
clite,1,polite
clite,2,politeness context
clite,3,politeness standard
cliva,1,leave
cliva,2,left behind
cliva,3,route of leaving
clupa,1,loop
clupa,2,loop material: looped
cmaci,1,mathematics
cmaci,2,mathematics type
cmalu,1,small
cmalu,2,smallness dimension
cmalu,3,smallness standard
cmana,1,mountain
cmana,2,mountainous: has mountain
cmavo,1,structure word
cmavo,2,structure word class
cmavo,3,structure word meaning
cmavo,4,structure language word
cmene,1,name
cmene,2,named
cmene,3,namer: calls: names
cmila,1,laugh
cmima,1,member
cmima,2,set of member
cmoni,1,moans
cmoni,2,moan: is moaned
cmoni,3,expressed by moan
cnano,1,norm
cnano,2,averaged
cnano,3,population [for a norm]: set with norm
cnano,4,norm standard
cnebo,1,neck
cnebo,2,has neck: necked
cnemu,1,reward
cnemu,2,rewarded
cnemu,3,reason for reward
cnemu,4,reward given
cnici,1,orderly
cnici,2,orderliness property
cnino,1,new
cnino,2,find new
cnino,3,newness property
cnino,4,newness standard
cnisa,1,lead
cnita,1,beneath
cnita,2,has underneath: above: over
cnita,3,reference for beneath
cokcu,1,soak up
cokcu,2,soaked up
cokcu,3,is drained: soaked up from
cokcu,4,soaked up into
condi,1,deep
condi,2,depth direction
condi,3,depth reference point
condi,4,depth standard
cortu,1,pain
cortu,2,pain locus: hurts: is sore
cpacu,1,get
cpacu,2,gotten
cpacu,3,got from
cpana,1,upon
cpana,2,has on top: under (immediately)
