lujvo,meaning
xe'akre,goatee
xekli'ikai,black-lined
xekyblabi,black & white
xekselskapi,black-skinned people
xelbe'iple,carbon paper
xernunba'u,apology
xerselfriti,penitent sacrifice/offering
xervla,a word of apology
xesxei,anthellenism
xesygu'e,Greece
xilcucli'u,to rollerskate
xilcutci,rollerskating shoe
xingu'e,India [Bharat]
xirkla,to ride
xircmo,to neigh
xirno'i,knight
xirselma'e,ride [a horse]; be carried on a horse
xirselma'ecu'e,riding school
xirselma'eno'i,knight､ horse-riding noble
xirno'i,knight､ horse-riding noble
xirza'u,horse's hindquarters
xisli'icutci,rollerblading shoe
xismalsi,church
xi'octu (jdaselsku),Lord's Prayer
xlabu'u,rag
xlafu'a,unlucky､ unfortunate
xlapre,bad person
xlari'a,to make something bad
xlati'a,bad weather
xleserti,canal steps､ locks
xluga'i,to influence someone into changing
xrakarni,[illustrated] magazine
xrare'o,projector
xrube'i,take something back
xrucpa,to get something back
xrufle,to return [of electricity after blackout]
xrukla,to go back､ to return
xu'acmu,basis､ evidence for asserting...
terxuspli,moral of a story
xukske,chemistry
xuksle,molecule
xumcacpli,to have a drug habit
xumsne,hallucinogenic intoxication､ 'trip'
xunkrexli,red-haired girl
xusnoi,document
xusycmuma'o,evidential
xusypapri,document [physical]
xusyvei,document
zaglamtu'e,thigh
zajyctu,coach
zalre'u,ground meat､ mince meat
zaltapla,patty of ground material､ [e.g. hamburger]
zancimstu,oasis
zanfri,enjoy
zarki'a,yell approval､ hurrah
zasmo'isro,temporary memory
zasyspo,temporarily destroy
zasysti,temporarily ceasing､ pausing
vasxu zasysti,finds breath-taking
macyva'uzasysti,finds breath-taking
zatfa'i,to discover something､ to discover that something exists
zatsta,keeps existing
zausku,to praise
zbaske,engineering
zbaveljmina,to be put together
zbero'i,bedrock
zbisakci,sniffle
zdabartu,outside､ outdoors
zdacravro,hall door
zdadi'u,house､ home
zdaku'i,house-caretaker､ cleaning staff
zdamu'e,habitat
zdane'i,inside､ indoors
zdasazri,housewife､ house-caretaker
zdaspe,housewife
zdasta,to stay home
zdatutra,habitat [implies control]
zdaxru,to return something home
zdida'asnu,to argue for amusement､ to palaver
zdifanza,to tease
zdilisri,anecdote､ joke
zenri'a,to increase (tr.)
zergau,to commit a crime
zerkalte,poacher
zerle'a,to steal; thief
bloti zerle'a,pirate
blozeile'a,pirate
nunblozeile'a,act of piracy
nunzeile'a,theft､ act of piracy
zernerkla,to sneak into something､ breaking and entering
zerxai,crime against someone､ crime with a victim
zerxaigau,to commit a crime against...
zetcla,old､ having existed a long time
zgama'o,observation cmavo､ evidential
zgatirna,to listen
zgica'a,musical instrument
zgifau,musical event
zgifi'i,composer
zgijvexajmi,musical comedy
zgikabri,musical glasses
zgikalsa,musical chaos
zgipi'o,to play an instrument
zgiselsku,melody､ musical work
zgisku,to perform music
selzgisku,melody
zgizu'e,play music
zifri'a,to free､ to release someone from an obligation
zirjbo,'bad lojban' (Helsemism)
maudji,to prefer
zmanei,to prefer
termaupu'a,be more satisfied with
zmari'a,increase ... over ...
zmitra,mechanical [of behaviour]
zmutu'a,corn farm
zu'edji,impelled to do
zugyxu'a,confess
zulxa'e,left hand
zunsna,consonant
tsekansa,sit with
tsela'i,sit next to､ beside [inc. table]
zvaju'o,to know someone is there､ to notice someone､ to know someone's whereabouts
zvakansa,to be with someone somewhere
zvapre,a person present
zvaste,roll of those present､ registration list
zvastejbu,registration table [for conferences]
selba'u,utterance
selbadna,banana species
seldri,depressing
selbajra,running surface
terbajra,running limbs
velbajra,running gait
selbakfu,bundled
terbakfu,bundle wrapping
selbakni,bovine species/breed
selbakri,chalk source
terbakri,chalk form
selbaktu,bucket contents
terbaktu,bucket material
selbalji,plant with bulb
selbalni,balconied
selba'e,bladed
selbalvi,before
selbancu,bound beyond which
terbancu,reference for beyond
velbancu,beyondness property
selbandu,protected
terbandu,adversary
selbanfi,amphibian species
selbau,language community
terbau,
selba'i,greatness property
terba'i,greatness standard
selba'o,grown
terba'o,grown from
selbanxa,banker
terbanxa,banking functions
selbanzu,satisfied [by]
terbanzu,sufficiency condition
selbai,forced
selbra,bigness dimension
terbra,bigness standard
selbargu,arched over
terbargu,arch material
selbarja,fare [of a bar]
terbarja,bar customers
selba'a,marked
terba'a,mark material
selbartu,has outside
selbasna,stressed
terbasna,emphasis
selbasti,replaced
terbasti,replacement condition
selbatci,bitten
terbatci,bite locus
velbatci,biting tool
selbatke,has button
terbatke,button purpose
velbatke,button material
selbavmi,barley species
selbaxso,Malay-Ind aspect
selbebna,foolishness
selbe'o,North American aspect
selbe'e,crew members
terbe'e,leader [of a team]
velbe'e,crew purpose
selbengo,Bengali aspect
selbe'i,transferred
terbe'i,receiver
velbe'i,transmitter
xelbe'i,medium
selbe'a,parent [of son]
selberti,has to north
terberti,frame for north
selbesna,brained
selbe'u,has abdomen
selbetri,finds tragic
selbei,carrier
terbei,destination [for cargo]
velbei,source [of cargo]
xelbei,carrying path
selbidju,bead material
selbifce,bee species
selbilga,obligation
terbilga,obligation standard
selbi'a,symptoms
terbi'a,illness
selbilni,regimentation
terbilni,military purpose
selbindo,Indonesian aspect
selbinra,insured
terbinra,covered condition
velbinra,insured benefit
selbi'o,changed into
terbi'o,becoming conditions
selbirje,beer ingredients
selbirka,armed
selbirti,certainty
selbisli,ice composition
selbi'u,walled off
terbi'u,walled from
velbi'u,subdivided
selblaci,glass composition
selbli,block material
terbli,block surface
selblo,carried by boat
terblo,propel boat
selboi,ball material
selbo'u,bone function 
terbo'u,has bone
selbo'i,contents [of bottle]
terbo'i,material [of bottle]
velbo'i,lid [of bottle]
selbo'o,sheet material
selbo'a,wavy
terbo'a,wave-form
velbo'a,wave-length
xelbo'a,wave frequency
selbradi,opposes
terbradi,struggle [with enemy]
selbratu,hail material
selbrazo,Brazilian aspect
selbre,event prepared for
selbri,predicate relation
terbri,predicate arguments
selbi'e,wind direction
terbi'e,wind speed
selbriju,office worker
terbriju,branch [of an office]
selbrito,British aspect
selbu'a,has brother
terbu'a,brotherly bond
selbu'o,Buddhist aspect
selbu'u,cloth material
selbumru,fog composition
selbunda,weight [in local units]
terbunda,pound standard
velbunda,first subunit of pound
selbru,brush purpose 
terbru,bristles [of brush]
selburna,embarrassing
selcabna,co-occurred with
selca'a,apparatus function 
terca'a,apparatus operator
selcacra,duration [in hours]
tercacra,hour standard
seldzu,walked on
terdzu,walking limb
selcafne,oftenness standard
selcalku,has shell
tercalku,shell material
selcanci,vanished from
tercanci,see vanish
selcange,farm location 
tercange,farmer
velcange,farm produce
selcanja,exchanged
tercanja,exchanged for
velcanja,exchanged with
selca'o,has window
selcna,dug with shovel
selcanre,sand source
tercanre,sand composition
selcanti,has gut
selcarce,carried on cart
tercarce,propel cart
selcai,intense property
tercai,find intense
selcarna,turn axis
tercarna,rotational direction
selcartu,mapped [as a territory]
tercartu,shown on chart
selcarvi,rained on
tercarvi,rained from
selsnu,discussion subject
selca'e,shoved
terca'e,shoved at
selcta,examined
selca'i,underling
terca'i,authority basis
selcatra,murdered
tercatra,killing method 
selcaxno,shallow direction
tercaxno,shallow reference point
velcaxno,shallowness standard
selce'a,projectile
terce'a,propellant
selce'u,live in community
selcedra,characterize era
selcne,varying property
tercne,variance
velcne,variance conditions
selcensa,hold as holy
selcenti,has .01 part
tercenti,.01's dimension
selcerda,inheritance
tercerda,bequeath
velcerda,rule of inheritance
selcerni,day of morning
tercerni,morning location 
selcre,forte
tercre,expertise standard
selcei,hold as god
tercei,dominion of god
selfi'a,plot
terfi'a,author [of fiction]
selcfi,flawed
tercfi,result of flaw
selcfine,wedge material
selfi'u,confused
terfi'u,confusing property
selblu,has blood
seldja,can eat
selcidni,limb with knew
tercidni,has knee
selcifnu,infant species 
selcigla,secretion
tercigla,has gland
selcikre,fixed
tercikre,use for repaired item
selcki,explained
tercki,get explanation
velcki,explanation
selcilmo,moisture
selcli,learned
tercli,subject learned [about]
velcli,teacher
xelcli,learning method 
selcilta,thread material
selcimde,has dimension
tercimde,dimensional model
selcimni,infinite property
tercimni,infinity degree
selcinba,kissed
tercinba,place kissed
selcindu,oak species
selcinfo,lion species
selcinje,wrinkled
selcinki,insect species
selcinla,thinness direction
tercinla,thinness standard
selcni,emotion felt
tercni,object of emotion
selci'i,interested
selcinse,sexual activity
tercinse,sexuality
velcinse,sexuality standard
selcinta,paint pigment
tercinta,paint base
selcinza,use tongs
tercinza,grasped with tongs
selcpi,bird species
selcipra,property tested [for]
tercipra,tested
selcri,lost
tercri,loss conditions
selcirla,cheese source 
selci'a,written
terci'a,written on
velci'a,writing implement
selci'e,system structure
terci'e,system components
velci'e,system properties
selcti,eaten
selci'o,youth standard
selcitri,has history
tercitri,historian
selcitsi,define season
tercitsi,year of season
selcivla,louse species
tercivla,louse host
selcizra,find strange
tercizra,strangeness property
selckabu,rubber source 
terckabu,rubber composition
selckafi,coffee bean
selkai,quality
selcka,bed material
tercka,on bed
selckape,endangered
terckape,peril conditions
selckasu,ridiculed
terckasu,ridiculous
velckasu,ridiculing
selcke,humiliating
tercke,ashamed before
selckiku,opened by key
terckiku,key property 
selci'u,measured on scale
selki'i,related to
terki'i,relationship
selckire,thanked
terckire,object of gratitude
selcu'e,school location 
tercu'e,curriculum
velcu'e,attend school
xelcu'e,operate school
selku'u,conifer species
terku'u,cone of conifer
selylau,loud at point
terlau,loudness standard
selcla,length direction 
tercla,length standard
selcau,lacked
selclika,moss species
terclika,mossy
selclira,earliness standard
selclite,politeness context
terclite,politeness standard
selyli'a,left behind
terli'a,route of leaving
selclupa,loop material
selcmaci,mathematics type 
selcma,smallness dimension
tercma,smallness standard
selma'a,mountainous
selma'o,structure word class
terma'o,structure word meaning
velma'o,structure language word
selcme,named
tercme,namer
selcmi,set of member
selcmo,moan
tercmo,expressed by moan
selna'o,averaged
terna'o,population [for a norm]
velna'o,norm standard
selne'o,has neck
selne'u,rewarded
terne'u,reason for reward
velne'u,reward given
selcnici,orderliness property
selni'o,find new
terni'o,newness property
velni'o,newness standard
selni'a,has underneath
terni'a,reference for beneath
selcko,soaked up
tercko,is drained
velcko,soaked up into
selcoi,depth direction 
tercoi,depth reference point
velcoi,depth standard
selcro,pain locus
selcpa,gotten
tercpa,got from
selcpana,has on top
tercpana,reference for upon
selcpare,surface climbed
tercpare,direction climbed
velcpare,climbing tool
selcpe,requested
tercpe,requested from
velcpe,request form
selcpina,find pungent
selcradi,radio program
tercradi,radio station
velcradi,radio receiver
selcra,has in front
tercra,reference for front
selcreka,shirt material
selcrepu,harvested
tercrepu,harvested from
selcribe,bear species
selcrida,fairy mythos
selcripu,bridged over
tercripu,1st side of bridge
velcripu,2nd side of bridge
selcrisa,year of summer
tercrisa,summer location 
selcritu,year of autumn
tercritu,autumn location 
selctaru,tidal
terctaru,raise tide
selctebi,orifice with lip
terctebi,has lip
selce'i,taxed
terce'i,taxed
velce'i,levy tax
selctile,petroleum source 
selti'o,has shadow
terti'o,light making shadow
selctu,person taught
terctu,teaching
velctu,subject taught
xelctu,teaching method 
selcku,subject [of book]
tercku,author [of a book]
velcku,read book
xelcku,book medium 
selclu,filling
selcu'i,possibility condition
selcumla,object of humility
selcunmi,millet species
selcu'o,randomness condition
tercu'o,probability distribution
selcu'u,involved in affair
selpra,product
terpra,production
selcru,allowed
tercru,permission condition
selcurnu,worm species
selcurve,purity property
selsku,said
tersku,addressed
velsku,expression medium 
selcutci,shod
tercutci,shoe material
selcutne,has chest
selcu'a,chosen
tercu'a,choices
seldacru,filing system
terdacru,drawer contents 
seldadjo,Taoist aspect
seldakfu,cut by knife
terdakfu,knife material
seldakli,contents [of sack]
terdakli,material [of sack]
selda'a,opponent [in fight]
terda'a,in contention
seldamri,drumstick
seldandu,hung from
terdandu,hung by
seldanfu,question answered
selda'u,animal species
seldanmo,smoke source
selda'e,pressed
seldansu,accompaniment [for dance]
seldanti,gun
selplu,island material
terplu,contain island
seldapma,blessed
terdapma,damnation
seldargu,road start 
terdargu,road terminus
veldargu,road route
seldau,argued for
terdau,argued against
selda'o,has afar
terda'o,distance property
seldarsi,audacious behavior
selda'i,struck
terda'i,hitting tool
velda'i,hit locus 
seldaski,has pocket
seldasni,worn
terdasni,worn as
selspo,ruined
selsri,ribbon material
seldatka,duck species
seldatni,data subject 
terdatni,data collection
seldecti,has .1 part
terdecti,.1's dimension
seldegji,limb with finger
terdegji,has finger
seldejni,debt
terdejni,owed
veldejni,reason for debt
seldekpu,number of gallons
terdekpu,gallon standard
veldekpu,1st subunit of gallon
seldekto,measured in 10's
terdekto,10's dimension
selde'o,number of candelas
terde'o,candela standard
seldembi,leguminous plant
selde'i,has tooth
seldenmi,density property
terdenmi,density locus 
selde'a,awaited
terde'a,waiting state
velde'a,paused activity
selde'u,dirt source 
terde'u,dirt composition
seldre,heaped
terdre,heap location 
seldesku,shaker
seldetri,dated
terdetri,date location 
veldetri,calendar
seldicra,interrupted
terdicra,interruption
seldikca,charged
terdikca,amount of charge
selklo,locus
terklo,local range
seldikni,regularity
terdikni,regular period
seldilcu,dividend
terdilcu,divisor
veldilcu,remainder in division
seldilnu,cloud material
terdilnu,cloudy
veldilnu,cloud base [elevation]
seldimna,destined
seldi'u,building purpose 
seldi'o,nail type 
terdi'o,nail material
seldirba,adores
seldi'e,radiation
terdi'e,radiation conditions
seldirgo,drop material
terdirgo,surround drops
seldzi,lowness reference
terdzi,lowness standard
seldei,number of full days
terdei,full day standard
seldji,desired
terdji,purpose desired for
seldjine,ring material
terdjine,ring inside diameter 
veldjine,ring outside diameter
selju'o,known
terju'o,subject known
velju'o,epistemology
seldo'i,day with daytime
terdo'i,daytime location 
seldo'o,German aspect
seldraci,subject [of drama]
terdraci,dramatist
veldraci,watch drama
xeldraci,act in drama
seldra,correctness
terdra,correctness situation
veldra,correctness standard
seldrata,other than
terdrata,otherness standard
seldru,has roof
seldu'o,
terdu'o,
seldugri,antilogarithm
terdugri,logarithm base
seldu'e,in excess
terdu'e,excess standard
seldukti,has as opposite
terdukti,scale of opposites
seldu'a,gift
terdu'a,recipient
seldunja,freezing point
terdunja,freezing pressure
seldu'u,distressing
seldu'i,equalled
terdu'i,equality property
seldunra,year of winter
terdunra,winter location 
seldze,descendent
terdze,ancestral bond
selzi'o,Antarctican aspect
selfa'i,discovery
terfa'i,subject discovered
selfadni,ordinariness
terfadni,set with typical
selfagri,fuel for fire
terfagri,air for fire
selfalnu,fill sail
terfalnu,sailing craft
selfamti,niece
terfamti,avuncular bond
selfancu,function domain
terfancu,function range
velfancu,function definition
selfange,alienness property
terfange,perceive as alien
selfa'o,ended
selfanri,factory product
terfanri,raw material for factory
selfanta,circumvented
selfanva,source text
terfanva,target language
velfanva,source language
xelfanva,translation
selfanza,annoyed
selpro,opposed
terpro,in contention
selfa'u,fallen to
terfa'u,fallen from
velfa'u,frame for fall
selfa'a,direction to
terfa'a,direction from
selfarvi,developed
terfarvi,developed from
velfarvi,development stages
selfa'e,reversed
selfai,receive share
terfai,share
selfebvi,boiling point
terfebvi,boiling point pressure
selfemti,has 1E-15 part
terfemti,1E-15's dimension
selfendi,partitioned
terfendi,division
velfendi,division method 
selfe'u,object of anger
terfe'u,reason for anger
selfenki,craziness standard
selfe'a,cracked
selfe'o,sewn
terfe'o,sewing tool
velfe'o,sewing thread
selfei,worth [in cents]
terfei,money system of cent
selfepri,has lung
selfre,fertility product
selfesti,pollute
selfe'i,female species 
terfe'i,female trait
selfigre,fig species
selfilso,Palestinian aspect
selfi'e,fish species
selfi'i,creation
terfi'i,invention purpose 
velfi'i,inspiration
selfla,regulated [by law]
terfla,community with law
velfla,conditions for law
xelfla,legislature
selfle,has flow
terfle,flow destination 
velfle,flow source 
selfli,failed activity
selflira,has face
selfoi,field material
selfo'o,foam material
terfo'o,material in foam bubble
selfonxa,telephone network
selfro,fork purpose 
terfro,fork tine
velfro,fork shaft
selfraso,French aspect
selfra,response
terfra,stimulus [reacted to]
velfra,reaction conditions
selfraxu,forgiven
terfraxu,matter forgiven
selfrica,differed from
terfrica,difference property
selfi'o,African aspect
selfrili,adept
terfrili,easiness conditions
selfrinu,numerator
terfrinu,denominator
selfriti,offered
terfriti,receive offer
velfriti,offer conditions
selfu'i,copied
terfu'i,copy medium
velfu'i,copying method 
selflu,floated in
selfu'a,lucky
selfusra,rotting agent
selfu'e,responsibility
terfu'e,hold responsible
selgai,covered
selgadri,phrase with article
tergadri,article language 
velgadri,article semantics
selga'i,changed
terga'i,modified into
selga'u,height reference
terga'u,height standard
selgalxe,has throat
selga'o,closed off
terga'o,stopped by closure
selganra,breadth dimension
terganra,breadth standard
selga'e,sensed
terga'e,sense employed
velga'e,sensing conditions
selganti,has gonad
terganti,gonad gender
selganxo,has anus
selganzu,not as organized
terganzu,organized
velganzu,organizing principle
selgapci,gas composition
tergapci,gas conditions
selgapru,below
tergapru,reference for above
selgarna,has rail
tergarna,rail material
selgau,caused
selgasta,steel composition
selgenja,has root
selge'o,Argentinian aspect
selgenxu,hook material
selge'u,dog species
selge'a,grammar language 
terge'a,grammatical
selgi'a,guided
tergi'a,guided activity
selgi'o,in 1E9's
tergi'o,1E9's dimension
selginka,camper
terginka,campsite
selgri,group property 
tergri,membership
velgri,roles
selgi'u,root word relation
tergi'u,root word arguments
velgi'u,root word affix
selgla,hot standard
selgei,object of happiness
selgle,copulated with
selgli,English aspect
selglu,glove material
selgocti,has 1E-24 part
tergocti,1E-24's dimension
selgotro,in 1E24's
tergotro,1E24's dimension
selrau,unit standard
teryrau,measured by unit
selgra,number of grams
tergra,gram standard
selga'a,rod material
selgrasu,grease source 
selgreku,has frame
selgrute,fruit species
selgubni,published among
selgu'e,countrymen
tergu'e,territory of country
selgundi,industry product
tergundi,industrial process
selgu'a,task
tergu'a,work goal 
selgunma,component of mass
selgu'o,surface rolled on
tergu'o,axle
selgunse,goose species
selgunta,attacked
tergunta,attack goal 
selgru,grain species
selguska,scraped
terguska,scraped from
selgu'i,lit
tergu'i,light source
selgusta,restaurant cuisine
tergusta,restaurant customer
selgutci,length/width/height (in short units
tergutci,cubit standard
velgutci,sub-unit of cubits
selgutra,has womb
selzme,melon species
seljabre,braked
terjabre,braking device
selja'i,adorned
seljakne,expelled by rocket
terjakne,payload [of a rocket]
selja'e,have result
seljalna,starch source 
terjalna,starch composition
seljalra,cockroach species
seljma,has foot
seljamna,enemy [in war]
terjamna,in contention
seljanbe,chime
seljanco,joined at shoulder
terjanco,has shoulder
seljanli,collided with
seljansu,represented by diplomat
terjansu,diplomat posting
veljansu,diplomat function 
seljanta,billed for
terjanta,billed
veljanta,present bill
seljarbu,city of suburb
selja'o,shown
terja'o,shown to
seljarki,narrow dimension
terjarki,narrowness standard
seljaspu,has passport
terjaspu,issue passport
veljaspu,authorized by passport
selja'a,captained
seljva,prescribed by rule
terjva,has rule
seljbama,bomb explosive
seljba,berry species
seljbe,bear young
terjbe,birthday
veljbe,birthplace
seljbera,borrowed
terjbera,lender
veljbera,term [time of a loan]
selbi'i,have in between
terbi'i,betweenness property
seljdari,meet firmness
terjdari,firmness conditions
seljdi,decision
terjdi,matter decided
seljdika,property decreased
terjdika,decrease amount
seldi'a,priced at
terdi'a,purchaser
veldi'a,set price
seldi'i,issue money
seljdu,jelly composition
selje'a,polity territory 
seljeftu,duration [in weeks]
terjeftu,week standard
selje'o,Jehovist aspect
seljelca,combustion temperature
terjelca,burning atmosphere
seljme,jewel type 
terjme,jewel source 
seljenca,shocked
seljendu,spin on axle
terjendu,axle material
seljei,has army
terjei,army function 
seljerna,wages
terjerna,paid work
selje'i,pursued
seljerxo,Algerian aspect
seljesni,needle material
selje'e,jet material
terje'e,expel jet
selje'u,truth standard
selja'u,clawed
seljga,angle vertex
terjga,subtend angle
seljai,grasped
terjai,grasping appendage
seljge,knotted
seljgina,has gene
terjgina,genetic trait
seljgi,object of pride
seljgita,plectrum
seljbi,has near
terjbi,nearness property
seljibri,employed
seljicla,mixed
selcmu,founded
seljijnu,intuition
terjijnu,intuition subject 
seljikca,socialized with
seljikru,liquor source 
seljilka,alkali composition
seljilra,object of jealousy
terjilra,reason for jealousy
seljimca,branched
seljmi,understood
terjmi,subject understood
seljimte,limited
terjimte,limitation property
seljinci,cut by shears
selji'a,prize
terji'a,losing competitor
velji'a,competition won
seljinku,vaccinated
terjinku,vaccinated against
veljinku,vaccination method 
seljinme,metal composition
seljinru,immersed in
seljinsa,material cleaned away
terjinsa,cleanness standard
seljinto,fluid from well
terjinto,well location 
selji'i,opinion
terji'i,opinion subject 
velji'i,grounds for opinion
seljinzi,has innately
seljipci,chicken species
selji'o,pointed
terji'o,tip locus 
seljirna,has horn
seljisra,juice source 
seljitfa,falsity standard
seltro,controlled
tertro,controlled activity
seljivbu,woven
terjivbu,yarn for weaving
seljvi,rival
terjvi,contest
veljvi,prize
seljmaji,gathering place
terjmaji,gathered from
seljmifa,shoal material
terjmifa,has shoal
seljmina,additive
terjmina,added to
veljmina,addition result
selji'e,aliveness standard
seljo'o,Jordanian aspect
seljo'e,joined to
terjo'e,joint
seljbu,table material
terjbu,leg
seljudri,addressee
terjudri,address system
selju'a,sentence subject 
terju'a,sentence language 
seljukni,spider species
seljukpa,cooked
terjukpa,recipe
selju'e,pass through net
terju'e,stopped by net
velju'e,net property
selju'i,attended to
seljungo,Chinese aspect
seljunla,measured by clock
terjunla,precision
veljunla,clock mechanism 
seljunri,seriousne subject 
seljunta,has weight
terjunta,gravity causing weight
seljurme,germ species
seljursa,find severe
seljutsi,genus of species
terjutsi,family of species
seljuxre,clumsiness standard
selji'u,viewed
terji'u,vantage point
selkabri,cup contents 
terkabri,cup material
selkacma,photographic illumination
terkacma,photographic medium
selkadno,Canadian aspect
selkafke,coughed up
terkafke,orifice coughed from
selkagni,authorize company
terkagni,company purpose 
seljde,warned
terjde,danger [warned of]
selkajna,support shelf
terkajna,shelf purpose 
selka'e,ability
terka'e,ability conditions
selkakpa,dug out
terkakpa,dug from
velkakpa,digging tool
selkalci,defecate
selkalri,accessible
terkalri,has access
selkalsa,chaotic property
selkalte,prey
terkalte,hunt purpose 
selkamju,column material
selkamni,charter [of a committee]
terkamni,has committee
selkau,set with common property
selkanba,goat species
selkancu,set counted
terkancu,number counted
velkancu,counting units
selkandi,dimness property
terkandi,find dim
selkanji,calculated
terkanji,source data
velkanji,calculation
selkanla,has eye
selka'o,health standard
selkansa,accompanied
terkansa,accompanied in
selka'u,quantized
selkanxe,1st conjunct
terkanxe,2nd conjunct
selkarbi,compared
terkarbi,compared with
velkarbi,property compared
xelkarbi,comparison
selkarce,ride in car
terkarce,propel car
selkarda,card material
terkarda,
selkargu,find costly
terkargu,costliness standard
selkarli,collared
terkarli,collar material
selkarni,genre [of a journal]
terkarni,publisher [of a journal]
velkarni,receive journal
selka'a,be cut
terka'a,piece cut
selkavbu,captured
terkavbu,trap
selke'i,pitiable
terke'i,reason for pity
selkei,plaything
selke'o,temperature [in Kelvin]
terke'o,kelvin standard
selkenra,cancerous
selkensa,outer space region
selkre,hairy
terkre,hair location 
selkerlo,eared
seltco,South American aspect
selke'a,has cavity
selki'e,padded
terki'e,cushion material
selki'o,in 1000's
terki'o,1000's dimension
selkinli,sharpness locus 
selkisto,Pakistani aspect
selklaji,street location 
terklaji,accessed from street
selklaku,tears wept
terklaku,reason for weeping
selkla,destination
terkla,starting point
velkla,route of going
xelkla,transportation means 
selylai,quantifier
terlai,scale of quantity
selkle,superset
terlei,define class
selkli,unobstructed
selkliru,halogen type 
selkliti,clay composition
selylu'e,use for screw
terlu'e,screw thread
velylu'e,screw body
selkluza,has loose covering
terkluza,looseness locus 
selko'i,cabbage species
selko'a,has corner
terko'a,corner material
selko'e,coal source 
selkomcu,comb material
terkomcu,comb tooth 
selko'u,cone material
terko'u,cone vertex 
selkoi,edged
terkoi,bordering
selkorka,cork source 
selkosta,coat material
selkramu,size [in acres]
terkramu,acre standard
velkramu,sub-unit of acre
selkra,has source
selka'i,represented
terka'i,matter represented in
selke'u,recurrent
selkri,belief
terkri,belief subject 
selkrili,crystal composition
terkrili,crystal structure
selki'u,justified
selki'a,yell
selkruca,intersected
terkruca,intersection locus
selkruji,cream composition
selkru,curved
terkru,curve locus 
velkru,define curve
selkubli,polyhedron cube dimensionality 
terkubli,face
selkucli,object of curiosity
selkufra,make comfortable
selkukte,find delicious
selklu,has culture
selku'a,structure with room
terku'a,room boundary
selkumte,camel species
selkunra,mineral type 
terkunra,lode
selkunti,material emptied
selkurfa,square vertices
terkurfa,right-angle dimensionality
selku'i,taken care of
selkurki,find bitter
selku'e,ranged over
selkusru,object of cruelty
selylabno,wolf species
selcpu,pulled
tercpu,pulling locus
selylacri,trusted
terlacri,matter of reliance
selyladru,milk source 
selylafti,lifted
terlafti,lifting locus
velylafti,gravity lifted in
selyla'e,likelihood condition
selylakse,wax source 
selyla'u,has lake
selyla'i,has adjacent
terla'i,adjacency property
velyla'i,adjacency direction
selylanbi,protein type 
selylanci,has flag
terlanci,flag design
velylanci,flag material
selylanka,basket contents 
terlanka,basket material
selylanli,analyzed
terlanli,analysis method
selylanme,sheep species
terlanme,flock of sheep
selylante,can contents
terlante,can material
selylanxe,balancing forces
selylanzu,family member
terlanzu,family standard
selylarcu,craft
selyla'a,fastened
terla'a,fastened to
velyla'a,fastener
selylastu,brass composition
selyla'o,Latin aspect
selylatna,lotus species
terlatna,lotus significance 
velylatna,culture with lotus
selylazni,activity avoided
selyle'a,aquisition
terle'a,taken from
selyle'o,image [focussed by lens]
terle'o,focus [of lens]
velyle'o,refractor
selylenku,coldness standard
selylerci,lateness standard
selyle'u,character set
terle'u,signified by letteral
selylibjo,Libyan aspect
selyli'e,preceded
terli'e,sequence preceded in
selfri,happening
seljda,adherents
terjda,creed
selylimna,swum in
selylindi,struck [by lightning]
terlindi,lightning origin 
selyli'i,points on line
selylinsi,chain material
terlinsi,chain property 
selyli'o,lightweight standard
selylisri,story subject
terlisri,storyteller
velylisri,hear story
selste,set listed
terste,order [of a list]
velste,list medium 
selylitce,volume [in liters]
terlitce,liter standard
selylitki,liquid composition
terlitki,liquidity conditions
selyli'u,route traveled
terli'u,travel means 
selylivga,has liver
selylivla,powered by fuel
selylogji,conclusion
seljbo,Lojbanic aspect
selyloi,has floor
selylo'u,fox species
selylu'o,Lebanese aspect
seljvo,meaning [of affix compound]
terjvo,argument [of affix compound]
veljvo,metaphor [of affix compound]
selylu'i,washed
terlu'i,removed by washing
velylu'i,cleanser
selylunra,moon primary
selylunsa,bedewed
terlunsa,condensation point
velylunsa,condensation pressure
selmabla,derogated
termabla,derogator
selmabru,mammal species
selcnu,manual function
tercnu,manual conditions
selma'u,mature trait
selmakfa,hold as magical
termakfa,magician
selmaksi,magnetic field
selmalsi,temple religion 
termalsi,temple location
selmamta,mothered
selmanci,object of wonder
selmanfo,uniform property
selmanri,use reference
termanri,rule for reference
selmansa,satisfied
termansa,satisfaction
selmanti,ant species
selmapku,cap material
selmapti,matched
termapti,matched property
selmra,sheltered
termra,threat sheltered from
terma'e,medium for vehicle
velma'e,vehicle propulsion
selmarde,has morals
termarde,morality conditions
selmai,composition
termai,physical form
selmarna,hemp species
selmarxa,mashed
termarxa,pulp
selsno,done slowly
selma'i,duration [in months]
terma'i,month standard
selmatci,mat material
selmatne,butter source 
selmatra,motorized
selmavji,oats species
selxri,wheat species
selmebri,has brow
selmegdo,quantity in 1E6's
termegdo,1E6's dimension
selmei,  set with cardinality
termei,  individuals numbered
selme'o,rules for MEX
selmle,find beautiful
termle,beauty property
velmle,beauty standard
selmeljo,Malaysian aspect
selmenli,has mind
selme'i,has sister
terme'i,sisterly bond
selme'u,duration [in minutes]
terme'u,minute standard
selmerko,American aspect
selmre,measured
termre,measurement
velmre,measuring scale
xelmre,measurement accuracy
