gismu,freq,inflation,meaning
stapa,76,,step
stasu,15,,soup
stati,33,,talent
steba,134,,frustration
steci,157,,specific
stedu,995,,head
stela,16,,lock
stero,7,,steradian
stici,127,,west
stidi,405,,suggest
stika,53,,adjust
stizu,351,,chair
stodi,88,,constant
stuna,116,,east
stura,100,,structure
stuzi,330,,site
sucta,103,,abstract
sudga,69,,dry
sufti,5,,hoof
suksa,120,,sudden
sumji,42,(x),sum
sumne,90,,smell
sumti,8740,,argument
sunga,53,,garlic
sunla,20,,wool
surla,120,,relax
sutra,613,,fast
tabno,4,,carbon
tabra,16,,trumpet
tadji,281,,method
tadni,548,,study
tagji,37,,snug
talsa,44,,challenge
tamca,27,,tomato
tamji,33,,thumb
tamne,35,,cousin
tanbo,26,,board
tance,88,,tongue
tanjo,8,,tangent
tanko,20,,tobacco
tanru,2709,,phrase compound
tansi,9,,pan
tanxe,1860,,box
tapla,47,,tile
tarbi,39,,embryo
tarci,233,(x),star
tarla,18,,tar
tarmi,191,,shape
tarti,100,,behave
taske,25,,thirst
tatpi,158,,tired
tatru,15,,breast
tavla,2406,,talk
taxfu,142,,garment
tcaci,126,,custom
tcadu,377,,city
tcana,46,,station
tcati,373,(x),tea
tcena,35,(x),stretch
tcica,82,,deceive
tcidu,1076,,read
tcika,191,,time of day
tcila,94,,detail
tcima,126,,weather
tcini,101,,situation
tcita,651,,label
temci,662,,time
tenfa,18,,exponential
tengu,21,,texture
terdi,404,,earth
terpa,273,,fear
terto,1,,10exp+12
tigni,63,,perform
tikpa,117,,kick
tilju,59,,heavy
tinbe,57,,obey
tinci,16,,tin
tinsa,64,,stiff
tirna,368,,hear
tirse,11,,iron
tirxu,34,,tiger
tisna,52,,fill
titla,43,,sweet
tivni,51,,television
tixnu,38,,daughter
toknu,408,,oven
toldi,140,,butterfly
tonga,53,,tone
tordu,139,,short
torni,40,x,twist
traji,525,,superlative
trano,14,,nitrogen
trati,37,x,taut
trene,37,,train
tricu,342,(x),tree
trina,107,,attract
trixe,108,,behind
troci,1055,,try
tsali,309,,strong
tsani,162,(x),sky
tsapi,10,,seasoning
tsiju,81,,seed
tsina,6,,stage
tubnu,47,,tube
tugni,431,,agree
tujli,27,,tulip
tumla,76,,land
tunba,15,,sibling
tunka,9,,copper
tunlo,37,,swallow
tunta,27,,poke
tuple,653,,leg
turni,348,,govern
tutci,103,,tool
tutra,37,,territory
vacri,151,,air
vajni,431,,important
valsi,1332,,word
vamji,96,,value
vamtu,18,(x),vomit
vanbi,102,,environment
vanci,99,,evening
vanju,32,,wine
vasru,375,,contain
vasxu,54,,breathe
vecnu,347,,sell
venfu,49,,revenge
vensa,28,,spring
verba,468,,child
vibna,16,,vagina
vidni,97,,video
vidru,7,,virus
vifne,23,,fresh
vikmi,31,,excrete
viknu,14,,viscous
vimcu,170,,remove
vindu,36,,poison
vinji,59,,airplane
vipsi,24,,deputy
virnu,66,,brave
viska,1407,,see
vitci,7,,irregular
vitke,309,,guest
vitno,140,,permanent
vlagi,26,,vulva
vlile,84,,violent
vlina,22,,alternation
vlipa,157,,powerful
vofli,149,,flight
voksa,228,,voice
vorme,245,,door
vraga,7,,lever
vreji,128,,record
vreta,265,,reclining
vrici,241,x,miscellaneous
vrude,68,,virtue
