section_id,freq,sign,actual,actual_breakdown,canon,canon_breakdown,canon_meaning,canon_places,new,new_breakdown
4,1,?*,srebrena,err+*UNKNOWN*,,,,,,
4,1,?*,stilisma,cease+*UNKNOWN*,,,,,,
4,2,?*,stimukli,cease+*UNKNOWN*,,,,,,
4,3,?*,sudtarme,*dry+*UNKNOWN*,,,,,,
4,1,?*,suegro,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,sukplene,sudden+*UNKNOWN*,,,,,,
4,3,?*,sukresna,*sudden+*UNKNOWN*,,,,,,
4,3,?*,suomeksi,**UNKNOWN*+*UNKNOWN*,,,,,,
4,3,?*,surminti,relax+*UNKNOWN*,,,,,,
4,1,?*,tablua,carbon+*UNKNOWN*,,,,,,
4,1,?*,tajdjini,thumb+*UNKNOWN*,,,,,,
4,15,?*,taknirda,ceramic+*UNKNOWN*,,,,,,
4,1,?*,talmente,challenge+*UNKNOWN*,,,,,,
4,18,?*,tangredi,sky+*UNKNOWN*,,,,,,
4,1,?*,tciclecko,tool+*UNKNOWN*+soak-up,,,,,,
4,3,?*,tempaltempe,time+profit+*UNKNOWN*,,,,,,
4,1,?*,tempaltorkanse,time+profit+short+*UNKNOWN*,,,,,,
4,5,?*,tergloba,3rd-place-of+*UNKNOWN*,,,,,,
4,1,?*,terglobe,3rd-place-of+*UNKNOWN*,,,,,,
4,3,?*,tersigni,3rd-place-of+*UNKNOWN*,,,,,,
4,1,?*,terzue,3rd-place-of+*UNKNOWN*,,,,,,
4,1,?*,tiadorme,**UNKNOWN*+*UNKNOWN*,,,,,,
4,2,?*,tiokamne,**UNKNOWN*+*UNKNOWN*,,,,,,
4,2,?*,tiokomne,**UNKNOWN*+*UNKNOWN*,,,,,,
4,2,?*,tofmabru,*UNKNOWN*+mammal,,,,,,
4,1,?*,tofmabru,*UNKNOWN*+mammal,,,,,,
4,2,?*,toftodydru,*UNKNOWN*+butterfly+roof,,,,,,
4,1,?*,toftodydru,*UNKNOWN*+butterfly+roof,,,,,,
4,2,?*,toftosmabru,*UNKNOWN*+*UNKNOWN*+mammal,,,,,,
4,1,?*,toftosmabru,*UNKNOWN*+*UNKNOWN*+mammal,,,,,,
4,4,?*,tokcinto,oven+*UNKNOWN*,,,,,,
4,4,?*,toljusra,opposite-of-+*UNKNOWN*,,,,,,
4,5,?*,tomcinto,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,tomsai,*UNKNOWN*+meal,,,,,,
4,2,?*,tongutka,twist+*UNKNOWN*,,,,,,
4,1,?*,torgamsu,short+*UNKNOWN*,,,,,,
4,1,?*,tornio,short+*UNKNOWN*,,,,,,
4,2,?*,torvonsa,short+*UNKNOWN*,,,,,,
4,17,?*,tosmabru,**UNKNOWN*+mammal,,,,,,
4,1,?*,tosmapku,*UNKNOWN*+cap,,,,,,
4,1,?*,tostodydru,**UNKNOWN*+butterfly+roof,,,,,,
4,3,?*,tostofmabru,*UNKNOWN*+*UNKNOWN*+mammal,,,,,,
4,3,?*,tostosmabru,**UNKNOWN*+*UNKNOWN*+mammal,,,,,,
4,1,?*,tostue,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,tosymabru,*UNKNOWN*+mammal,,,,,,
4,1,?*,tosytodydru,*UNKNOWN*+butterfly+roof,,,,,,
4,1,?*,tosytosmabru,*UNKNOWN*+*UNKNOWN*+mammal,,,,,,
4,2,?*,tosytosmabru,*UNKNOWN*+*UNKNOWN*+mammal,,,,,,
4,3,?*,totgru,**UNKNOWN*+grain,,,,,,
4,1,?*,totsatne,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,tovlo'a,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,tranio,behave+*UNKNOWN*,,,,,,
4,1,?*,tratando,behave+*UNKNOWN*,,,,,,
4,2,?*,trenutno,meter+*UNKNOWN*,,,,,,
4,1,?*,tridyfordi,*UNKNOWN*+*UNKNOWN*,,,,,,
4,2,?*,tsamunga,strong+*UNKNOWN*,,,,,,
4,1,?*,tsapadno,strong+*UNKNOWN*,,,,,,
4,3,?*,tsitsero,seed+*UNKNOWN*,,,,,,
4,3,?*,tsolai,*UNKNOWN*+quantity,,,,,,
4,4,?*,tuatso,*UNKNOWN*+*UNKNOWN*,,,,,,
4,1,?*,tukpia,copper+*UNKNOWN*,,,,,,
4,1,?*,valkolje,word+*UNKNOWN*,,,,,,
4,2,?*,valnirva,word+*UNKNOWN*,,,,,,
4,1,?*,vantetri,wine+*UNKNOWN*,,,,,,
